1,2012,Real Estate,150000,125000,0,"profit is not there ,only loss","25,000",invester is not investment for in this sectore,Approvals and Procedural difficulties,down
2,2012,Transport,300000,400000,100000,government rules are profit for invester so profite is incress,0,"not loss ,income is there",Traffic congestion and parking difficulties. ...,up
3,2012,Education,500000,800000,300000,it is common profit is here,0,most of invester is investment in this section so loss is not accure, Education System Promotes Rat Race,up
4,2012,Arts and Media,400000,900000,500000,"profit is there,not loss",0,invester is not investment for in this sectore,True demand-based pricing,up
5,2012,Social Networking,"60,000","50,000",0,"loss is accure ,so profit is not there","10,000",most of people not use for mobile phones,Untrustworthy Member Data,down
6,2012,Telecommunication,200000,"200,000",0,nutrel process is acqure,0,"neutral process is acqure,so not loss","Telcos have to decentralize the purchasing and decision power, both internally and externally, because of the essential agile reconfiguration of cloud.",neutral
7,2012,Health Care,224000,250000,"26,000",invester is investment in this section for the process,0,loss is not acqure,A serious drawback of Indiaís health service is the neglect of rural masses. It is largely a service based on urban hospitals. ,down
8,2012,Oil and Gas,300000,200000,0,"profit is not there ,only loss",100000,loss is acqure so process is activated,"To sustain their supply of crude oil or gas, oil companies are looking to extend the life of mature sites but are also compelledto seek new sources of oil ",down
9,2012,Basic Materials,167000,200000,"33,000",all invester is investment for the basic materials,0,not investment in invester for this section,One of the serious problems faced by the steel industry has to do with its size,up
10,2012,Financial,221345,190000,0,loss is acqure so profit is not there,"31,345",loss is acqure in this sectore,The most pressing issue facing the Indian financial sector is the rising stock of non-performing assets or NPAs in the banking system.,down
11,2012,Industrials,333592,333592,0,neutral is there so not profit,0,neutral it can be exciquted is not for loss,"The manufacturing sector, like so many sectors, is facing increasing regulation and compliance measures",down
12,2012,Technology,465000,"65,000",0,profit is noe there,400000,profit is note there only loss,"Leaders should encourage diversity across their teams, promote open conversation and set the expectation for inclusive collaboration across the company.†",up
13,2012,Utilities,178000,100000,0,"loss is accure ,so profit is not there","78,000",invester is not investment for in this sectore,"Initiatives, such as increasing import tariffs, have been adopted to improve the local steel production operations in countries other than China",down
14,2012,Consumer Goods,135000,180000,"45,000",market level is incress so investers is high level of investment,0,"market level is incress so investers is high level of investment,so loss is not acqure",†Companies also need to account for fluctuations in factors such as oil prices and their effect on transportation costs or petrochemicals which may be used for agrochemicals and packaging.,up
15,2012,Consumer Services,100000,100000,0,nutrel process is acqure,0,"neutral process is acqure,so not loss",Services sector growth is governed by both domestic and global factors.,neutral
16,2013,Real Estate,200000,250000,"50,000",incress the market process,0,"not loss ,income is there",Lack of clear land titles,up
17,2013,Transport,500000,700000,200000,sudden national market values is incress,0,"loss is not there,profit is there good development",Public transport inadequacy. ,up
18,2013,Education,700000,1100000,400000,all invester is investment for in section,0,loss is not  accure,Education Does Not Builds Persona of a Child,up
19,2013,Arts and Media,500000,1300000,800000,government rules are profit for invester so profite is incress,0,invester is not investment for in this sectore,5G wireless,up
20,2013,Social Networking,100000,100000,0,"no,loss no profit neutral is there",0,"no,loss no profit neutral is there",Successful Networks have hard time scaling,neutral
21,2013,Telecommunication,150000,200000,"50,000","loss is not  accure ,so profit is  there",0, investment in this sectore for investers,"Telecommunication providers need to make upgrades to their IT and connectivity infrastructure, and focus on providing data and voice services that are high quality, reliable, and affordable.",up
22,2013,Health Care,123904,123904,0,neutral process is exected,0,"neutral process is acqure,so not loss",The health system of India depends almost on imported western models. It has no roots in the culture and tradition of the people,neutral
23,2013,Oil and Gas,250000,"50,000",0,"loss is accure ,so profit is not there","2,00,000",loss is acqure,"To sustain their supply of crude oil or gas, oil companies are looking to extend the life of mature sites but are also compelledto seek new sources of oil ",down
24,2013,Basic Materials,215000,185000,0,"invester,is investment in this section","30,000",not investment for this section,"Although steel is indispensible in a wide range of industries, ranging from the automotive, construction, to domestic household sectors,",down
25,2013,Financial,345215,"45,215",0,"profit is not there ,only loss",300000,loss is there,The most pressing issue facing the Indian financial sector is the rising stock of non-performing assets or NPAs in the banking system.,down
26,2013,Industrials,276421,276421,0,this sections was not profit and not loss it can be neutral,0,this sections was not profit and not loss it can be neutral,Manufacturers need to work with schools and universities in their communities to ensure that manufacturing focused subjects are being well promoted and taught,neutral
27,2013,Technology,450000,200000,0,"profit is not there ,only loss",250000,loss is there is identify,"According to†Michael Dell, CEO of Dell Technologies, 80% of companies believe that effectively using robotics and AI is crucial to the future of business.",down
28,2013,Utilities,200000,279000,"79,000",invester is investment in this section for the process,0,"loss is not acqure ,so profit is there in this system","Complicating this charge is the†aging workforce†coupled with a decline in available talent that is being absorbed by high tech companies. Further, aging infrastructure vital to the grid has reached the end of its lifespan.",up
29,2013,Consumer Goods,346765,346765,0,neutral process is exected,0,"neutral process is acqure,so not loss","With compliance and regulations becoming stricter, traceability functionalities are more pertinent and requisite than in the past",neutral
30,2013,Consumer Services,230000,200000,0,"loss is accure ,so profit is not there","30,000","loss is acqure,",The implementation of the Goods and Services Tax (GST) has created a common national market and reduced the overall tax burden on goods,down
